                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80755,                0.72544,                 1.1123,                0.54974,                0.68367,                0.59721,                0.46319,                0.84519,                 1.3989,                 1.1286,              0.0015581,              0.0015581,              0.0015581
                     35,                0.82883,                0.74134,                 1.0804,                0.47055,                0.76701,                0.53989,                0.41646,                0.89174,                  1.302,                 1.1355,              0.0015548,              0.0015548,              0.0015548
                     36,                0.78031,                0.79952,                 1.0517,                0.51374,                0.56122,                0.53399,                0.38929,                0.97083,                 1.1332,                 1.2104,              0.0015515,              0.0015515,              0.0015515
                     37,                0.79715,                0.75655,                 1.0837,                0.54767,                0.57313,                0.53624,                0.37554,                 1.0081,                 1.3065,                 1.2153,              0.0015482,              0.0015482,              0.0015482
                     38,                0.80273,                0.76159,                  1.081,                0.40918,                0.73589,                0.50553,                0.36318,                0.95683,                 1.7808,                  1.217,              0.0015449,              0.0015449,              0.0015449
                     39,                0.75339,                0.74561,                 1.0495,                 0.5053,                0.63817,                0.49541,                0.36278,                0.86184,                 1.3054,                 1.1137,              0.0015416,              0.0015416,              0.0015416
                     40,                0.78414,                0.73521,                 1.0641,                0.53762,                 0.7534,                0.59681,                0.40436,                0.98035,                 1.1352,                 1.1778,              0.0015383,              0.0015383,              0.0015383
                     41,                0.78156,                 0.6992,                 1.0375,                0.56818,                0.64286,                0.61263,                0.45492,                0.87735,                0.95403,                  1.128,               0.001535,               0.001535,               0.001535
                     42,                0.76241,                0.66481,                 1.0525,                0.55981,                0.51261,                0.54136,                0.40484,                0.84854,                  1.146,                 1.1335,              0.0015317,              0.0015317,              0.0015317
                     43,                0.74476,                0.66406,                 1.0405,                0.50249,                0.57993,                0.52367,                0.39045,                 0.8161,                 1.4656,                 1.1292,              0.0015284,              0.0015284,              0.0015284
                     44,                0.68725,                0.70504,                 1.0253,                0.61165,                0.63776,                0.58169,                 0.4537,                0.78769,                 1.2306,                 1.0935,              0.0015251,              0.0015251,              0.0015251
                     45,                0.68311,                0.67577,                 1.0147,                0.50834,                0.64526,                0.55398,                0.42124,                0.72698,                0.99781,                 1.0456,              0.0015218,              0.0015218,              0.0015218
                     46,                0.75732,                0.69025,                 1.0568,                0.37559,                 0.4983,                0.46581,                0.37452,                  0.759,                 1.1498,                 1.0549,              0.0015185,              0.0015185,              0.0015185
                     47,                 0.7332,                0.64821,                 1.0412,                0.45454,                0.57653,                0.50037,                0.39408,                0.77803,                 1.1132,                 1.0554,              0.0015152,              0.0015152,              0.0015152
                     48,                0.70511,                0.63473,                 1.0249,                0.47471,                 0.5119,                0.47734,                0.38284,                0.83323,                 1.0659,                 1.0921,              0.0015119,              0.0015119,              0.0015119
                     49,                0.70366,                0.67179,                 1.0392,                0.51679,                0.55952,                0.51225,                 0.4105,                0.70369,                 0.9979,                 1.0271,              0.0015086,              0.0015086,              0.0015086
                     50,                0.72559,                0.66165,                 1.0284,                0.56195,                0.67969,                0.61856,                0.47888,                0.79209,                0.96969,                 1.0565,              0.0015053,              0.0015053,              0.0015053
                     51,                0.71691,                0.67675,                 1.0038,                0.47845,                0.69728,                0.58121,                0.45436,                0.76257,                0.99063,                 1.0389,               0.001502,               0.001502,               0.001502
                     52,                 0.6868,                0.67058,                 1.0239,                0.48092,                0.52164,                0.48346,                0.37502,                0.83438,                 1.1359,                 1.1227,              0.0014987,              0.0014987,              0.0014987
                     53,                0.66355,                0.63954,                 1.0098,                0.40095,                0.53061,                0.49681,                0.38749,                0.80288,                 1.0385,                 1.1247,              0.0014954,              0.0014954,              0.0014954
                     54,                0.72156,                0.64162,                 1.0216,                0.44422,                0.60204,                0.55273,                0.41614,                0.80423,                 1.0546,                 1.1117,              0.0014921,              0.0014921,              0.0014921
                     55,                0.70107,                0.59781,                 1.0183,                0.60112,                0.69179,                0.58932,                0.44544,                0.77187,                 1.0822,                 1.0931,              0.0014888,              0.0014888,              0.0014888
                     56,                0.72661,                0.62488,                 1.0505,                0.62658,                0.65306,                0.58963,                0.43533,                0.77722,                 1.0195,                 1.1038,              0.0014855,              0.0014855,              0.0014855
                     57,                0.69539,                0.60088,                 1.0213,                0.61045,                0.70408,                0.59316,                0.44186,                0.85756,                 1.0938,                 1.1105,              0.0014822,              0.0014822,              0.0014822
                     58,                0.71801,                0.61408,                 1.0356,                0.63099,                0.61749,                0.60972,                0.48018,                0.79454,                 1.1569,                 1.0721,              0.0014789,              0.0014789,              0.0014789
                     59,                0.73028,                0.67826,                 1.0365,                 0.6326,                0.64292,                 0.6315,                0.48647,                0.81237,                 1.2249,                 1.0928,              0.0014756,              0.0014756,              0.0014756
                     60,                0.70646,                0.59732,                 1.0338,                0.60883,                0.70961,                0.67756,                0.51196,                0.81464,                 1.3577,                 1.0698,              0.0014723,              0.0014723,              0.0014723
                     61,                0.68176,                0.60089,                 1.0064,                0.63718,                0.69312,                0.66642,                 0.4833,                0.78683,                  1.057,                 1.0869,               0.001469,               0.001469,               0.001469
                     62,                0.68866,                0.63394,                   1.02,                0.56508,                0.60714,                0.57722,                0.43834,                0.81256,                 0.9659,                 1.1299,              0.0014657,              0.0014657,              0.0014657
                     63,                0.63762,                0.57313,                 0.9827,                0.52001,                0.55952,                0.56931,                0.45427,                0.75093,                0.95186,                 1.0566,              0.0014624,              0.0014624,              0.0014624
                     64,                0.69068,                 0.6223,                 1.0206,                0.59592,                0.60917,                0.58098,                0.44958,                0.81265,                0.94268,                  1.115,              0.0014591,              0.0014591,              0.0014591
                     65,                0.68276,                0.57874,                 1.0236,                0.51308,                0.63435,                0.51879,                0.38788,                0.87163,                 1.0312,                 1.1452,              0.0014558,              0.0014558,              0.0014558
                     66,                0.67382,                0.60075,                0.99507,                0.47802,                0.53144,                0.50836,                0.40811,                0.74885,                  1.029,                 1.0831,              0.0014525,              0.0014525,              0.0014525
                     67,                0.64328,                0.58561,                 1.0203,                0.50446,                0.55102,                0.53906,                0.43498,                0.74585,                 1.0477,                 1.0723,              0.0014492,              0.0014492,              0.0014492
                     68,                0.63512,                0.55749,                 1.0008,                0.55074,                0.61224,                 0.5708,                0.45508,                 0.7645,                0.97086,                  1.045,              0.0014459,              0.0014459,              0.0014459
