               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.051657,             0.07158,            0.014123,             0.32156,             0.88435,             0.52411,             0.22354,             0.05162,            0.026583,            0.012957,           0.0096535,           0.0096535,           0.0096535
                  37,               0.055,              0.0797,            0.012111,               0.365,             0.88946,             0.54977,             0.29782,            0.043171,            0.025675,             0.01311,           0.0096436,           0.0096436,           0.0096436
                  38,            0.051781,            0.075679,            0.012328,             0.36665,             0.77211,             0.49778,             0.22269,            0.051985,             0.03008,            0.013995,           0.0096337,           0.0096337,           0.0096337
                  39,            0.054813,            0.069435,            0.017448,              0.3759,             0.82993,             0.50093,             0.23894,            0.049717,            0.028439,            0.013336,           0.0096238,           0.0096238,           0.0096238
                  40,            0.047571,            0.067485,            0.013508,             0.35053,             0.88797,             0.52313,             0.23369,            0.048854,            0.026539,            0.013948,           0.0096139,           0.0096139,           0.0096139
                  41,            0.048159,            0.069037,            0.012397,             0.34974,             0.89796,              0.5249,              0.2532,            0.046445,            0.024715,            0.014088,            0.009604,            0.009604,            0.009604
                  42,            0.049552,            0.066527,            0.011997,             0.33914,             0.91716,             0.51875,             0.25737,            0.046402,            0.025375,            0.014089,           0.0095941,           0.0095941,           0.0095941
                  43,            0.048754,            0.067582,            0.012887,             0.35669,             0.81633,             0.50668,             0.30227,            0.044003,            0.025991,            0.014442,           0.0095842,           0.0095842,           0.0095842
                  44,            0.050429,            0.061783,            0.012949,             0.35553,             0.73777,              0.4883,             0.26349,            0.050643,            0.029681,            0.014544,           0.0095743,           0.0095743,           0.0095743
                  45,            0.049739,            0.068462,            0.010822,             0.36186,             0.91327,             0.54395,             0.33706,            0.041839,            0.026508,             0.01405,           0.0095644,           0.0095644,           0.0095644
                  46,            0.049034,            0.071477,            0.011633,             0.88761,             0.45408,             0.51857,             0.22985,            0.044872,            0.025503,            0.013817,           0.0095545,           0.0095545,           0.0095545
                  47,            0.048154,            0.062737,            0.014023,              0.3443,             0.91662,             0.51878,             0.30502,            0.039388,             0.02412,            0.013944,           0.0095446,           0.0095446,           0.0095446
                  48,            0.050512,            0.067782,           0.0096212,             0.36317,             0.91837,             0.54529,             0.32065,            0.040317,            0.025508,            0.013967,           0.0095347,           0.0095347,           0.0095347
                  49,            0.049211,            0.069664,            0.013442,             0.35785,             0.93707,             0.55806,             0.35516,            0.037805,            0.022862,            0.013883,           0.0095248,           0.0095248,           0.0095248
                  50,            0.046944,            0.062536,            0.010591,             0.36423,             0.88633,             0.55951,             0.36632,            0.038027,            0.023398,            0.013957,           0.0095149,           0.0095149,           0.0095149
                  51,             0.04673,            0.069991,            0.010884,             0.33787,             0.89456,             0.52471,             0.33698,            0.038714,            0.023457,            0.014109,            0.009505,            0.009505,            0.009505
                  52,            0.044141,            0.072775,               0.013,              0.3347,             0.94526,             0.51658,              0.3392,             0.03643,            0.022464,            0.014142,           0.0094951,           0.0094951,           0.0094951
                  53,            0.046968,            0.070332,            0.011581,              0.3515,             0.97959,             0.52848,               0.313,            0.040231,            0.023917,            0.013944,           0.0094852,           0.0094852,           0.0094852
                  54,            0.045001,            0.069203,            0.014346,              0.4054,             0.95068,              0.5223,             0.33826,            0.036716,            0.024262,            0.014363,           0.0094753,           0.0094753,           0.0094753
                  55,            0.042411,            0.067429,            0.010355,             0.40485,             0.95578,             0.55237,             0.33367,            0.039283,            0.023696,            0.014114,           0.0094654,           0.0094654,           0.0094654
                  56,             0.04752,            0.063275,            0.010579,             0.38411,             0.95105,             0.52934,             0.32703,            0.039925,            0.023977,            0.014056,           0.0094555,           0.0094555,           0.0094555
                  57,             0.04082,            0.057813,            0.010681,             0.36238,             0.89796,             0.51368,             0.32037,            0.038218,            0.024984,            0.013945,           0.0094456,           0.0094456,           0.0094456
                  58,            0.045965,            0.064823,            0.011476,             0.38311,             0.97109,             0.55053,             0.35324,            0.035328,            0.021866,            0.013644,           0.0094357,           0.0094357,           0.0094357
                  59,            0.045147,            0.069813,            0.011382,             0.37293,             0.96599,             0.54576,             0.33758,            0.038026,             0.02371,            0.013599,           0.0094258,           0.0094258,           0.0094258
                  60,            0.041998,            0.064229,            0.011324,             0.40345,             0.91837,             0.55826,             0.36969,            0.036438,             0.02315,            0.013632,           0.0094159,           0.0094159,           0.0094159
                  61,            0.043087,            0.059743,            0.011078,             0.41419,             0.91837,             0.55453,             0.34907,            0.038286,            0.022445,            0.013761,            0.009406,            0.009406,            0.009406
                  62,            0.045733,            0.062662,            0.012008,             0.42866,             0.90306,             0.52916,             0.35831,            0.037458,            0.024367,            0.013491,           0.0093961,           0.0093961,           0.0093961
                  63,            0.043896,            0.063539,            0.011431,             0.39694,             0.95068,             0.53477,             0.33874,            0.038471,            0.023503,            0.013782,           0.0093862,           0.0093862,           0.0093862
                  64,            0.043216,            0.063497,            0.013088,             0.37756,             0.97398,             0.55438,             0.36061,            0.036373,            0.021854,            0.013804,           0.0093763,           0.0093763,           0.0093763
                  65,            0.039898,            0.057069,           0.0096639,              0.3793,              0.9949,             0.54424,             0.31277,            0.039683,            0.022011,            0.014135,           0.0093664,           0.0093664,           0.0093664
                  66,            0.043139,            0.058306,            0.012031,             0.41427,             0.97109,             0.56192,             0.36658,            0.038168,            0.021717,            0.013639,           0.0093565,           0.0093565,           0.0093565
                  67,             0.04148,            0.057855,            0.014665,             0.41654,             0.94218,             0.58052,             0.35796,            0.040234,            0.022288,            0.013957,           0.0093466,           0.0093466,           0.0093466
                  68,            0.046352,            0.058137,            0.010765,             0.38736,              0.9949,             0.55952,             0.34936,            0.036472,            0.021982,            0.013522,           0.0093367,           0.0093367,           0.0093367
                  69,            0.044241,            0.065842,            0.010703,             0.36895,              0.9898,              0.5871,             0.38805,            0.036834,            0.021873,            0.013508,           0.0093268,           0.0093268,           0.0093268
                  70,            0.044768,            0.057552,            0.012496,             0.40579,             0.96599,             0.58725,             0.33869,            0.039919,            0.022651,            0.013773,           0.0093169,           0.0093169,           0.0093169
                  71,             0.04355,            0.063443,            0.013839,             0.40427,              0.9898,             0.58115,             0.35463,            0.035988,            0.022227,            0.013711,            0.009307,            0.009307,            0.009307
                  72,            0.043543,            0.065545,            0.013192,             0.42867,             0.93836,              0.5837,             0.36867,            0.037166,             0.02317,            0.014117,           0.0092971,           0.0092971,           0.0092971
                  73,            0.039335,             0.06209,            0.012972,             0.40548,             0.96088,             0.59204,             0.38078,            0.036962,            0.021584,            0.014386,           0.0092872,           0.0092872,           0.0092872
                  74,            0.045111,            0.062585,            0.012919,             0.39758,             0.96088,             0.59914,             0.39415,            0.038526,            0.021622,            0.014015,           0.0092773,           0.0092773,           0.0092773
                  75,            0.042817,            0.057649,            0.010415,             0.39698,             0.95578,             0.56098,             0.35971,            0.036673,            0.022498,             0.01448,           0.0092674,           0.0092674,           0.0092674
                  76,             0.04553,            0.061684,            0.013509,             0.40401,             0.90306,              0.5759,             0.37126,            0.037919,            0.022417,            0.014433,           0.0092575,           0.0092575,           0.0092575
                  77,            0.041295,            0.060791,            0.012638,             0.38825,             0.90306,              0.5646,             0.35384,            0.039219,             0.02233,            0.014468,           0.0092476,           0.0092476,           0.0092476
                  78,            0.046536,            0.057644,            0.011322,             0.41702,             0.93224,             0.58241,             0.39793,            0.037339,            0.022542,            0.014675,           0.0092377,           0.0092377,           0.0092377
                  79,            0.040097,            0.065062,            0.012822,             0.38311,             0.94558,             0.61615,             0.42212,            0.036977,            0.021928,            0.014874,           0.0092278,           0.0092278,           0.0092278
                  80,            0.040961,            0.056516,            0.011703,             0.39495,             0.96088,             0.57947,             0.39649,            0.036411,            0.021586,            0.014825,           0.0092179,           0.0092179,           0.0092179
                  81,            0.038102,            0.056171,            0.013372,             0.37804,             0.86905,             0.58657,             0.32322,            0.045948,            0.025688,            0.014981,            0.009208,            0.009208,            0.009208
                  82,             0.04184,            0.060405,            0.010156,             0.40037,             0.87415,             0.55933,               0.326,            0.041536,            0.023452,             0.01506,           0.0091981,           0.0091981,           0.0091981
                  83,            0.043536,            0.061237,            0.012574,             0.41996,             0.87415,             0.56671,             0.34283,            0.042513,            0.024814,            0.014769,           0.0091882,           0.0091882,           0.0091882
                  84,            0.042426,            0.057528,            0.010934,             0.41656,             0.89796,             0.56963,              0.3877,            0.039437,            0.023588,            0.014378,           0.0091783,           0.0091783,           0.0091783
                  85,            0.038551,            0.062587,            0.011373,             0.42325,             0.87876,             0.55388,             0.34814,            0.043051,            0.025168,            0.014612,           0.0091684,           0.0091684,           0.0091684
                  86,            0.043922,            0.060605,           0.0093023,             0.42132,             0.90815,             0.55012,             0.34881,             0.04337,            0.024736,            0.014561,           0.0091585,           0.0091585,           0.0091585
                  87,            0.042756,            0.060508,           0.0080557,             0.42654,             0.89286,             0.56285,             0.37398,            0.038668,            0.024272,            0.013968,           0.0091486,           0.0091486,           0.0091486
                  88,            0.043086,            0.057871,             0.01452,             0.42801,             0.86905,             0.58874,             0.39025,             0.03869,            0.023588,            0.013908,           0.0091387,           0.0091387,           0.0091387
                  89,            0.038435,            0.061395,           0.0093072,              0.4355,             0.86395,               0.581,             0.40876,            0.037202,            0.024315,             0.01348,           0.0091288,           0.0091288,           0.0091288
                  90,            0.035909,            0.056934,            0.011016,             0.44159,             0.84524,             0.57108,             0.35729,            0.039731,            0.024119,            0.013223,           0.0091189,           0.0091189,           0.0091189
                  91,            0.040348,            0.055343,            0.014006,             0.41887,             0.87415,             0.57037,             0.38981,            0.038487,            0.023222,            0.013016,            0.009109,            0.009109,            0.009109
                  92,            0.042098,            0.062092,             0.01059,             0.40133,             0.93197,             0.61813,             0.41739,            0.037961,            0.022408,            0.013089,           0.0090991,           0.0090991,           0.0090991
                  93,            0.041719,            0.058707,             0.01137,             0.42131,             0.94218,             0.64995,              0.4532,            0.036147,            0.022221,            0.013116,           0.0090892,           0.0090892,           0.0090892
                  94,            0.044036,            0.059939,            0.013475,             0.41482,             0.93707,             0.65585,             0.43932,            0.037279,            0.022765,            0.013531,           0.0090793,           0.0090793,           0.0090793
                  95,            0.040123,            0.059677,            0.012629,             0.42617,             0.90816,             0.63448,             0.43152,            0.037538,            0.026686,            0.013756,           0.0090694,           0.0090694,           0.0090694
                  96,            0.044304,            0.054611,             0.01541,             0.43826,             0.95414,             0.66301,             0.46103,            0.036366,            0.023014,            0.013852,           0.0090595,           0.0090595,           0.0090595
                  97,            0.039196,            0.063133,            0.011439,             0.41205,             0.95068,              0.6216,             0.41595,            0.037321,            0.023851,            0.013447,           0.0090496,           0.0090496,           0.0090496
                  98,            0.042437,            0.058722,            0.012802,             0.42544,             0.93197,             0.64519,              0.4678,            0.035414,            0.022996,            0.013473,           0.0090397,           0.0090397,           0.0090397
                  99,            0.036412,            0.055317,            0.011327,             0.42578,             0.94048,             0.56578,             0.38824,            0.037616,            0.023464,            0.013674,           0.0090298,           0.0090298,           0.0090298
                 100,            0.038189,            0.052438,            0.010286,             0.43018,             0.93197,             0.59212,             0.39132,            0.038298,            0.021669,            0.013925,           0.0090199,           0.0090199,           0.0090199
                 101,            0.036296,            0.052847,            0.014785,             0.41813,             0.93707,             0.58079,             0.37254,            0.037501,            0.022247,             0.01419,             0.00901,             0.00901,             0.00901
                 102,            0.043026,             0.06417,            0.011878,              0.4092,             0.96088,             0.55808,             0.37819,            0.034908,            0.022266,            0.013983,           0.0090001,           0.0090001,           0.0090001
                 103,            0.034509,            0.055885,            0.012911,             0.36909,             0.94218,             0.58549,             0.40373,            0.035504,            0.023152,            0.013737,           0.0089902,           0.0089902,           0.0089902
