     0/999     1.84G   0.08147   0.01944   0.01663    0.1175        63       640  0.003912    0.4405  0.002234 0.0003182    0.1187    0.0197   0.02116
     1/999     13.5G   0.07702   0.01968   0.01603    0.1127        48       640  0.006555    0.3146  0.004703 0.0008134    0.1107   0.01941   0.01988
     2/999     12.1G   0.07157   0.01995   0.01344     0.105        68       640   0.01473    0.3112   0.01314  0.003018    0.1003   0.01904   0.01843
     3/999     12.1G   0.07103   0.02108   0.01304    0.1052        43       640   0.03061    0.3384   0.03032  0.008334   0.09281   0.01862   0.01697
     4/999     12.1G   0.06404   0.02114   0.01157   0.09675        70       640   0.06877    0.3146   0.07212   0.02459   0.09236   0.01811   0.01635
     5/999     12.1G    0.0628   0.02119   0.01004   0.09402        53       640    0.1706    0.2704    0.1656   0.05919   0.08422   0.01796    0.0155
     6/999     12.1G    0.0583   0.02101   0.01016   0.08946        91       640    0.2254    0.2908    0.2631   0.09628   0.07989   0.01761   0.01506
     7/999     12.1G   0.05516   0.02007  0.009402   0.08463        54       640    0.1617    0.8759    0.3437    0.1568   0.07794   0.01699   0.01534
     8/999     12.1G   0.05187   0.01975  0.008515   0.08013        58       640    0.1958    0.8282    0.3723    0.1898   0.07285   0.01618    0.0158
     9/999     12.1G   0.05224   0.01781  0.007678   0.07774        48       640    0.2148    0.8367    0.3699    0.2111   0.06877   0.01516   0.01572
    10/999     12.1G   0.05315   0.01539  0.007727   0.07627        49       640    0.2125    0.8282     0.389    0.1711   0.07016   0.01407   0.01673
    11/999     12.1G    0.0546   0.01648  0.007772   0.07885        57       640    0.2066    0.7806    0.4078    0.2263   0.06602   0.01312   0.01616
    12/999     12.1G   0.04955   0.01503  0.008107   0.07269        68       640    0.1694     0.852    0.3393    0.1611   0.06458   0.01247   0.01504
    13/999     12.1G   0.04974   0.01391  0.007032   0.07069        49       640    0.2017    0.8997    0.4339    0.2556   0.06201   0.01163   0.01418
    14/999     12.1G    0.0517    0.0132  0.007951   0.07285        58       640    0.2174    0.8282    0.4423     0.261   0.05813   0.01096   0.01455
    15/999     12.1G   0.04469    0.0131  0.006829   0.06462        53       640     0.833    0.2959    0.3708    0.2121   0.06538   0.01041   0.01516
    16/999     12.1G   0.04658   0.01239   0.00684   0.06582        67       640    0.7873    0.3878    0.4254    0.2409   0.05707   0.01017   0.01279
    17/999     12.1G   0.05151   0.01263  0.006248   0.07039        46       640    0.8063    0.4437    0.4693    0.2561   0.05442  0.009922   0.01245
    18/999     12.1G   0.05338   0.01264  0.008433   0.07445        56       640     0.843    0.4235      0.47    0.2447   0.05687  0.009593   0.01318
    19/999     12.1G   0.05413   0.01252  0.007606   0.07426        54       640    0.8593     0.391    0.4895    0.3102   0.05185  0.009334    0.0147
    20/999     12.1G    0.0678   0.01157  0.007131    0.0865        56       640    0.8583    0.4133    0.4817    0.2019   0.05218  0.009222   0.01565
    21/999     12.1G   0.06364   0.01173  0.006735   0.08211        50       640    0.6963    0.4133    0.3031    0.1031   0.07052  0.008239   0.01447
    22/999     12.1G   0.06197   0.01241  0.007672   0.08205        55       640    0.7588    0.3722    0.3581     0.182    0.0686  0.008576   0.01259
    23/999     12.1G    0.0649   0.01259  0.007808    0.0853        66       640     0.763     0.398    0.3899    0.1657   0.06856  0.008406   0.01236
    24/999     12.1G   0.05133   0.01234  0.007846   0.07152        45       640    0.7927    0.3673    0.4058    0.1244   0.07763   0.00808   0.01206
    25/999     12.1G   0.05842   0.01221  0.006852   0.07748        37       640    0.8602    0.3724    0.4878    0.1893   0.07732  0.008484   0.01163
    26/999     12.1G   0.05898   0.01248  0.007329   0.07879        33       640    0.8666    0.4489    0.5138    0.3395   0.07829  0.008683    0.0113
    27/999     12.1G   0.05436   0.01149  0.007869   0.07372        27       640    0.8713    0.4133     0.506     0.279   0.08284  0.008332   0.01092
    28/999     12.1G   0.05999   0.01125  0.008833   0.08007        53       640    0.8023    0.3902    0.4067     0.125   0.08589  0.008026   0.01035
    29/999     12.1G    0.0591    0.0111  0.007936   0.07814        53       640    0.8076     0.449    0.4286    0.2088   0.08822  0.008276  0.009354
    30/999     12.1G   0.05708   0.01302   0.01032   0.08042        38       640    0.1357    0.1224   0.08037   0.02847   0.09066   0.01376   0.01294
    31/999     12.1G   0.05256   0.01345  0.008623   0.07464        54       640     0.221    0.5153    0.3072    0.1486    0.0809   0.01291   0.01175
    32/999     12.1G   0.05358   0.01159   0.00789   0.07306        19       640    0.2371    0.4638    0.3114    0.1299    0.0717   0.01281    0.0109
    33/999     12.1G   0.05766   0.01304  0.008231   0.07893        50       640    0.7932    0.3622    0.3669    0.1346    0.0767   0.01129  0.009664
    34/999     12.1G   0.05585   0.01416  0.008252   0.07827        73       640    0.7816    0.3622    0.3841    0.1309   0.08325  0.009463  0.009414
    35/999     12.1G   0.04895   0.01204  0.008357   0.06935        30       640    0.8326    0.4184    0.4198    0.2208   0.08059  0.008998  0.009597
    36/999     12.1G   0.05256   0.01244  0.006467   0.07147        38       640    0.7964    0.4678    0.4326     0.278   0.07388  0.009361  0.009798
    37/999     12.1G   0.05218   0.01278  0.007368   0.07233        51       640    0.8647    0.4536    0.4774     0.207   0.07283  0.008187  0.009434
    38/999     12.1G   0.05001   0.01313  0.007896   0.07104        70       640    0.3224    0.7602    0.5041    0.2363   0.06656  0.008336   0.00941
