               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047929,            0.067753,            0.014099,             0.37977,             0.93197,             0.59409,             0.29495,            0.042455,            0.023594,            0.012236,           0.0096535,           0.0096535,           0.0096535
                  37,            0.049203,            0.073355,            0.011934,             0.37334,             0.97449,             0.62063,             0.35067,            0.039602,            0.023542,             0.01214,           0.0096436,           0.0096436,           0.0096436
                  38,            0.048303,            0.070533,            0.012174,             0.35702,              0.9949,             0.64943,             0.35386,            0.037993,            0.022564,            0.012432,           0.0096337,           0.0096337,           0.0096337
                  39,            0.050336,            0.067069,             0.01699,              0.4562,             0.90816,             0.60337,             0.32564,            0.038843,            0.022678,            0.012569,           0.0096238,           0.0096238,           0.0096238
                  40,            0.043102,            0.063366,            0.012722,             0.45555,             0.80782,              0.6148,             0.34461,            0.041038,            0.023008,            0.012922,           0.0096139,           0.0096139,           0.0096139
                  41,            0.043984,             0.06353,            0.012288,             0.49496,             0.70748,             0.62981,             0.31661,            0.041783,            0.022127,            0.013245,            0.009604,            0.009604,            0.009604
                  42,            0.047099,            0.064966,            0.012239,             0.49176,             0.86054,             0.60864,              0.3582,            0.033848,            0.022337,            0.013757,           0.0095941,           0.0095941,           0.0095941
                  43,            0.046331,            0.063761,            0.012373,             0.39875,             0.96599,             0.61221,             0.37182,            0.038333,            0.021928,            0.013662,           0.0095842,           0.0095842,           0.0095842
                  44,            0.048372,            0.058829,            0.012901,             0.46264,             0.79762,             0.57826,              0.3422,            0.040013,            0.022778,            0.013581,           0.0095743,           0.0095743,           0.0095743
                  45,            0.045364,            0.066258,             0.01052,             0.47883,             0.79942,             0.64349,             0.38957,            0.036868,            0.023865,            0.013472,           0.0095644,           0.0095644,           0.0095644
                  46,            0.043304,            0.066202,             0.01099,             0.47063,             0.84694,             0.66102,                0.36,            0.041746,            0.023117,            0.013454,           0.0095545,           0.0095545,           0.0095545
